#t	density_B	P_survival
10	1.25253	0.999701
12.5893	1.1623	0.999401
15.8489	1.06893	0.997904
19.9526	0.980405	0.988822
25.1189	0.890784	0.971557
31.6228	0.818569	0.943413
39.8107	0.75	0.899601
50.1187	0.684487	0.832735
63.0957	0.628636	0.761976
79.4328	0.563928	0.681836
100	0.490519	0.588922
125.893	0.421844	0.500399
158.489	0.340351	0.402495
199.526	0.261349	0.310878
251.189	0.188395	0.220659
316.228	0.120805	0.144311
398.107	0.0705745	0.0842315
501.187	0.0370197	0.0444112
630.957	0.0161178	0.0198603
794.328	0.00418226	0.00518962
1000	0.00130052	0.00139721
1258.93	0.000233907	0.000399202
1584.89	0	0
