#t	density_B	P_survival
10	1.25696	1
12.5893	1.16987	1
15.8489	1.07454	1
19.9526	0.980533	1
25.1189	0.889438	0.999002
31.6228	0.822982	0.996407
39.8107	0.758333	0.990319
50.1187	0.694085	0.972355
63.0957	0.635017	0.943413
79.4328	0.582722	0.904092
100	0.531699	0.846108
125.893	0.489424	0.782236
158.489	0.447988	0.706587
199.526	0.404786	0.628044
251.189	0.361388	0.55
316.228	0.311355	0.472156
398.107	0.258895	0.388623
501.187	0.210072	0.308782
630.957	0.15341	0.228743
794.328	0.109607	0.162375
1000	0.0673824	0.0993014
1258.93	0.0391717	0.0562874
1584.89	0.0173372	0.0266467
1995.26	0.0085267	0.0116766
2511.89	0.00307042	0.00469062
3162.28	0.000954341	0.00139721
3981.07	7.64097e-05	0.000199601
5011.87	0	0
