#t	density_B	P_survival	density_Bsite	radius
10	0.0111813	0.758488	0.00423874	39.1246
12.5893	0.0115168	0.722555	0.00432609	44.4258
15.8489	0.0118879	0.680584	0.00441068	51.4002
19.9526	0.0122794	0.635133	0.00448508	59.6137
25.1189	0.012717	0.585583	0.00457584	70.8463
31.6228	0.0129664	0.54775	0.00461812	80.5823
39.8107	0.0131005	0.507319	0.0046146	90.6097
50.1187	0.0132937	0.466667	0.00462277	102.418
63.0957	0.0133372	0.430014	0.00458248	113.079
79.4328	0.0132603	0.395821	0.0045372	124.821
100	0.0132299	0.362887	0.00447635	138.088
125.893	0.0130289	0.331894	0.00435673	146.577
158.489	0.0127951	0.30122	0.00424374	160.095
199.526	0.0124658	0.272386	0.00410795	169.803
251.189	0.0121114	0.245631	0.00393622	177.562
316.228	0.011691	0.220116	0.00378893	188.446
398.107	0.0112466	0.197041	0.00361656	196.607
501.187	0.0108176	0.175485	0.00345159	206.997
630.957	0.0103163	0.156049	0.003281	214.169
794.328	0.0097971	0.138092	0.00308944	219.412
1000	0.00926325	0.121816	0.00291487	225.951
1258.93	0.00880748	0.107718	0.00275261	230.645
1584.89	0.00825476	0.095041	0.00256632	235.966
1995.26	0.00759955	0.0824435	0.00236312	240.615
2511.89	0.0071433	0.0713857	0.00220593	244.274
3162.28	0.00670378	0.0616077	0.00205478	257.763
3981.07	0.00603528	0.0525495	0.00185299	249.754
5011.87	0.00557586	0.0459308	0.00170132	249.761
6309.57	0.00507854	0.0385523	0.00154735	251.695
7943.28	0.00462665	0.0330134	0.00140683	248.475
10000	0.00425827	0.0281544	0.00128705	258.508
12589.3	0.00385825	0.0240152	0.0011609	247.946
15848.9	0.00351879	0.020216	0.00105743	251.842
19952.6	0.00311967	0.0168566	0.000939187	242.801
25118.9	0.00285841	0.0141372	0.000855298	244.519
31622.8	0.00251858	0.0116777	0.00075276	241.754
39810.7	0.00226978	0.009978	0.000677989	238.027
50118.7	0.00206611	0.00865827	0.000614194	218.797
63095.7	0.00170234	0.00707858	0.000506305	180.87
79432.8	0.00142225	0.00565887	0.000421732	159.483
100000	0.00110855	0.00445911	0.000329914	141.511
125893	0.000897984	0.00339932	0.000265103	146.165
158489	0.000647566	0.00245951	0.000192169	101.897
199526	0.00041644	0.00155969	0.00012437	63.4219
251189	0.000234328	0.00089982	6.92049e-05	26.9587
316228	0.000111443	0.000439912	3.26302e-05	14.5088
398107	4.2101e-05	0.000179964	1.35715e-05	3.05455
501187	7.79141e-06	3.9992e-05	2.30423e-06	0.74777
630957	6.05348e-06	1.9996e-05	1.95273e-06	0.480404
794328	0	0	0	0
