#t	density_B	P_survival	density_Bsite	radius
10	0.168915	0.74963	0.0650704	36.84
12.5893	0.172994	0.711778	0.0660202	41.4568
15.8489	0.178252	0.666487	0.0667935	47.4391
19.9526	0.182625	0.619516	0.0678867	54.848
25.1189	0.186468	0.566667	0.0682173	63.8045
31.6228	0.187824	0.525175	0.0677758	71.0169
39.8107	0.187757	0.482963	0.0670825	78.0169
50.1187	0.185664	0.437692	0.0655647	86.7671
63.0957	0.182481	0.39824	0.0636704	94.2567
79.4328	0.179047	0.361628	0.061932	103.847
100	0.173311	0.325355	0.0593247	115.741
125.893	0.165092	0.292182	0.0562163	127.042
158.489	0.155769	0.259328	0.0527423	139.857
199.526	0.142861	0.227435	0.0479192	146.159
251.189	0.129203	0.197321	0.0430214	146.06
316.228	0.112309	0.167347	0.0373203	143.839
398.107	0.0935788	0.138872	0.0309826	138.027
501.187	0.0752062	0.110078	0.0249394	119.267
630.957	0.0557648	0.0818836	0.01855	94.9889
794.328	0.0389785	0.0572486	0.0129649	73.1767
1000	0.0245629	0.0361128	0.00814712	47.4507
1258.93	0.0146221	0.0212557	0.00481341	28.3533
1584.89	0.00700672	0.0102979	0.00231641	14.8205
1995.26	0.00285443	0.00411918	0.000920441	6.07377
2511.89	0.000770158	0.00117976	0.000259948	1.42903
3162.28	0.000126225	0.000219956	4.28039e-05	0.243971
3981.07	7.18606e-06	1.9996e-05	2.4995e-06	0.00161968
5011.87	0	0	0	0
