#t	density_B	P_survival	density_Bsite	radius
10	0.0221454	0.760048	0.00846401	39.159
12.5893	0.0228107	0.724615	0.00860777	44.1887
15.8489	0.0235961	0.680304	0.00876153	51.0723
19.9526	0.0243181	0.635153	0.00892443	59.2303
25.1189	0.025274	0.585383	0.00909342	70.0103
31.6228	0.025618	0.546411	0.00915899	79.2761
39.8107	0.02597	0.507379	0.00918238	89.3635
50.1187	0.0263753	0.464847	0.00918621	101.43
63.0957	0.0263021	0.428154	0.00907217	111.788
79.4328	0.0260483	0.392761	0.00888072	122.191
100	0.0259239	0.358048	0.00874442	132.839
125.893	0.0255154	0.327974	0.00855165	144.095
158.489	0.0252134	0.297381	0.00837918	157.58
199.526	0.0246268	0.268886	0.00809834	167.181
251.189	0.0237013	0.242272	0.0077465	176.018
316.228	0.0229509	0.217556	0.00744574	185.265
398.107	0.0219454	0.193101	0.0070589	192.038
501.187	0.0209287	0.170966	0.00668761	197.458
630.957	0.0198736	0.15137	0.00629722	201.473
794.328	0.0187436	0.133573	0.0059105	208.279
1000	0.017739	0.117217	0.00556322	217.768
1258.93	0.0164135	0.10196	0.00512976	214.1
1584.89	0.0152918	0.0895421	0.00477069	216.201
1995.26	0.0143905	0.0776445	0.00443743	217.778
2511.89	0.0133082	0.0675665	0.00409582	214.72
3162.28	0.0122577	0.0582883	0.00375144	219.785
3981.07	0.0113401	0.04981	0.00346669	220.05
5011.87	0.0103219	0.0425715	0.00314339	219.993
6309.57	0.00962612	0.0368526	0.00292442	230.163
7943.28	0.00862816	0.0316937	0.00260721	212.366
10000	0.00781066	0.0261148	0.00235707	216.445
12589.3	0.00690385	0.0216757	0.00207876	222.863
15848.9	0.00601774	0.0184363	0.00181268	208.926
19952.6	0.00495749	0.015017	0.00149615	178.313
25118.9	0.00394265	0.0117976	0.00118398	161
31622.8	0.00306571	0.00887822	0.000923682	147.914
39810.7	0.00220636	0.0065187	0.000659126	134.487
50118.7	0.00150646	0.00423915	0.000449246	78.7092
63095.7	0.000910521	0.00267946	0.000277249	84.3468
79432.8	0.000511265	0.00153969	0.000151923	53.7051
100000	0.000246591	0.000679864	7.31494e-05	36.3886
125893	0.00012146	0.000339932	3.53054e-05	12.3995
158489	2.89005e-05	7.9984e-05	9.21691e-06	5.55747
199526	0	0	0	0
