#t	density_B	P_survival	density_Bsite	radius
10	0.0869207	0.75175	0.0332608	38.2165
12.5893	0.0894893	0.716257	0.0337231	42.863
15.8489	0.0921559	0.672146	0.0343731	49.3818
19.9526	0.0943942	0.625455	0.0348199	56.9539
25.1189	0.0965365	0.573825	0.0351099	67.2103
31.6228	0.0985419	0.534553	0.0352155	74.7309
39.8107	0.0991175	0.493861	0.0351258	83.9623
50.1187	0.0997066	0.45233	0.0349918	94.4068
63.0957	0.0989749	0.415397	0.0342619	103.091
79.4328	0.0984214	0.380504	0.0337968	112.904
100	0.0961523	0.344291	0.0326229	121.666
125.893	0.0939884	0.310898	0.0316773	130.161
158.489	0.0906841	0.278804	0.0302333	135.749
199.526	0.0867172	0.24965	0.0287171	141.356
251.189	0.0826832	0.222016	0.0271079	146.455
316.228	0.0786374	0.196441	0.0256902	153.2
398.107	0.0739743	0.173245	0.0239799	162.58
501.187	0.0690687	0.15171	0.0221698	170.281
630.957	0.0633211	0.131994	0.020242	183.286
794.328	0.0568928	0.112557	0.0180801	192.475
1000	0.0498658	0.094841	0.015812	196.627
1258.93	0.0417724	0.0780244	0.0132306	175.178
1584.89	0.033882	0.0630074	0.0107155	159.558
1995.26	0.0266183	0.0483703	0.00845409	142.664
2511.89	0.0191579	0.0344931	0.0060466	117.318
3162.28	0.0125858	0.0230354	0.00396436	84.726
3981.07	0.00760863	0.0134773	0.00235187	52.924
5011.87	0.00360194	0.00675865	0.00113227	28.335
6309.57	0.00156078	0.00277944	0.000493026	12.5334
7943.28	0.000502243	0.000979804	0.000159812	3.55637
10000	0.000174184	0.000279944	5.84258e-05	1.55277
12589.3	9.37313e-06	3.9992e-05	3.74925e-06	0.0113777
15848.9	0	0	0	0
